"ID_REF"	"GSM5019817"	"GSM5019818"	"GSM5019819"	"GSM5019820"	"GSM5019821"	"GSM5019822"	"GSM5019823"	"GSM5019824"	"GSM5019825"	"GSM5019826"	"GSM5019827"	"GSM5019828"	"GSM5019829"	"GSM5019830"	"GSM5019831"
"ASHG19AP1B100008393V5"	5.6936135	4.472468	4.5568213	4.1684694	3.8189454	3.6941094	2.8446767	2.3930845	3.1725218	2.9375217	7.25703	8.263172	8.508626	6.030425	3.6583142
"ASHG19AP1B100008394V5"	2.7037127	2.33273	2.466728	2.3339167	2.6845505	2.3326864	2.3327425	2.326424	2.4797976	2.3609407	2.814921	2.745772	2.6201525	2.7479913	2.4528751
"ASHG19AP1B100008396V5"	6.6984625	5.880971	6.167053	6.0261455	5.3969784	5.0067377	4.5522275	4.7899394	5.2308497	5.440068	6.3261137	5.7586904	4.745395	3.9765458	3.257363
"ASHG19AP1B100008397V5"	2.7037127	3.1623514	2.466728	3.044469	3.1116061	2.349571	2.3327425	2.8115726	2.4640505	2.3609407	NA	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100008398V5"	2.7037127	2.6405954	3.0265882	2.3339167	2.689725	3.469728	3.3629057	2.785151	3.1138167	2.3609407	2.814921	4.175419	4.1681175	2.7479913	3.991435
"ASHG19AP1B100008450V5"	13.239871	14.401167	14.697859	14.857793	14.825545	13.645427	13.664075	13.611164	13.294731	13.642687	13.347437	13.378729	12.53695	12.401208	12.36014
"ASHG19AP1B100008471V5"	5.6851025	4.5466866	5.176538	5.294337	4.9319444	5.485019	5.891406	5.552494	5.027137	5.052762	5.063922	5.6488757	6.0746036	6.010568	5.5190425
"ASHG19AP1B100008548V5"	4.353044	3.6808946	2.466728	3.1516025	3.8620074	2.3326864	2.3327425	2.3342595	2.783502	2.3609407	3.8186224	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100008707V5"	6.3152504	7.545602	7.146167	7.2296643	7.6470895	5.9067774	5.8077674	5.7169867	NA	6.3675504	5.3018622	4.929169	4.7363462	4.641816	5.776953
"ASHG19AP1B100008708V5"	3.737242	2.33273	2.466728	2.3339167	2.3352275	2.3326864	2.3327425	2.3359597	2.433007	2.3609407	2.814921	4.1151695	2.6201525	2.7479913	2.406823
"ASHG19AP1B100008710V5"	4.5469007	5.2621837	4.7574415	4.9417195	5.398802	6.329015	6.1682286	6.5463033	5.9701166	5.923032	5.693124	5.742241	6.606844	5.8865757	6.162813
"ASHG19AP1B100008844V5"	6.373863	7.7668557	7.043533	7.3187747	8.068127	8.716267	8.347074	7.4310036	7.5527463	8.847486	7.1465425	6.85478	6.5863104	6.7818284	8.531619
"ASHG19AP1B100008906V5"	4.043918	3.991435	4.3385844	4.2235518	3.185436	5.661409	5.716376	5.4511523	5.04824	4.93252	5.091518	5.506001	6.6602407	5.5244293	6.3357735
"ASHG19AP1B100008944V5"	10.857968	13.415202	13.604404	13.086782	12.653862	11.530518	11.542954	11.841292	11.194423	12.184742	11.29306	10.805839	9.560836	10.023197	10.12233
"ASHG19AP1B100008985V5"	2.7037127	3.9307756	3.3904784	3.3826811	3.748555	2.4802766	2.510778	2.9062185	2.719474	2.739452	2.814921	2.745772	2.6201525	2.7479913	2.333044
"ASHG19AP1B100008987V5"	2.7037127	3.0098832	3.1638978	2.3339167	2.9416182	4.0922337	4.313082	4.091548	4.2614207	4.138471	4.054594	2.745772	4.1652093	4.1734004	4.9016814
"ASHG19AP1B100009084V5"	9.643492	9.826392	10.375518	10.056168	9.510999	9.860526	9.026403	9.234024	9.87391	11.588862	9.697185	8.99531	8.000954	8.594596	7.2439165
"ASHG19AP1B100009137V5"	5.994581	5.5702887	5.460982	5.535326	5.5101666	7.2703524	7.323104	6.5077043	6.946194	6.8379965	6.414401	7.5639205	8.201541	7.586755	8.240908
"ASHG19AP1B100009196V5"	10.483344	11.601966	12.327875	12.171353	11.216275	10.25342	10.629048	10.645102	11.910905	10.792604	11.430906	12.111605	10.972591	10.838365	11.537419
